,index,0
0,PTPRC,---Y548fs--------------------------------T494S-------------------S380fs------------------------------------------------------N378N----------A1201S----------------------------------------------------------------------------E362D Y363F---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1,PLCG1,-------Y977C----------V1108V-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------G772G---------------------------------------------------------------------------------------------------------------A913A------------------------------------------------------
2,ILF3,-------Y677Y---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------G822G-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3,PML,-------Y339Y--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------K515K------------------------------------------------------------------------------------------------------------------------------------------------------
4,ACE,-----------Y656H--------L262L----------------------------------------------------------------------R791*------------------------------------------------------------------------R1007M-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------D114N-----------------------------------------------------------------------------------P598P---------------A425V--
5,ATP1B1,-----------Y169H---------------------------------------------------------------------------------------------------------------K22fs----------RFQGRFD290fs--------------------------------------------------------------G26G-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6,SCUBE1,------------Y355Y----------------------------------------------------------------------------------------------------------------K611K-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
7,YTHDC1,------------Y31C------------------------------------------------------------------------------------------------------------------E240E E239E------------------------------------------------R550G--------------------------------------------------------------------------------------------------------------------------------------------------------------E483*-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8,PTGS2,-----------------------Y220Y--------------------------------------------------------------------------------------T17A-------------------------------------------------K155T-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Y395*------------------------------------------------------------------------
9,RBX1,-------------------------Y106C---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
